"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"group_L3_9b9b2f61",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9bd8a951","cd","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9c120b35","uc","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9c217de5","radiofrequency ablation","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9c2e7365",NA,"small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9c50e0fa","Old serum","environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9cae4c5a","pediatric aml","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9ccbc7cb","hexanoate","pathogen_or_aggregate_exposure",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9ccc5aad",NA,"disease_vs_normal",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9cd12c26","idiopathic pulmonary fibrosis","disease_vs_normal",3,3,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9cd8efad","Small Cell Lung Carcinoma","disease_vs_normal",4,4,NA,"wt",TRUE,"OMOGENEO+ben_nominato","canary"
"group_L3_9cf22450","e2","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9d0c4319","stomach","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9d2676ab","PS(20:3(8Z,11Z,14Z)/18:0)","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9d43c64c",NA,"genetic_knockdown",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9d4a7498","sars-cov-2","pathogen_or_aggregate_exposure",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9d84353e","long-chain fatty alcohol","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9d865fbb",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9d89e3ca",NA,"environmental",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9dace825",NA,"differentiation",5,5,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9dbf4c04",NA,"disease_vs_normal",4,4,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9df67964","biotin amide","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9e2b1269",NA,"environmental",6,6,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9e7e2a1b",NA,"environmental",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9e9fbd47",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9ecd7070","Corneal Stroma","disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9ed18501","(8E,10E,12Z)-octadecatrienoyl-containing glycerolipid","small_molecule",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9eec8bd4",NA,"genetic_knockdown",10,10,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
"group_L3_9f0fd3cd",NA,"disease_vs_normal",2,2,NA,"wt",FALSE,"OMOGENEO+MAL_nominato","candidate"
