"cluster_id","name","kind","k","n_studies","homog","top_theme","name_ok","cls","role"
"pair_L4_8fcc14aa","Lactoferrin","small_molecule",1,1,NA,"kidney__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8fccd950",NA,"genetic_knockout",1,1,NA,"embryonic stem cells__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8fd80794","early onset colorectal cancer","disease_vs_normal",1,1,NA,"Rectum__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_8ff92a5c","CAR_IL15","genetic_overexpression",1,1,NA,"Blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9016092e","fascin actin-bundling protein 1","genetic_knockout",1,1,NA,"adrenal cortex__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9026f4ca","POU class 3 homeobox 2","genetic_overexpression",1,1,NA,"skin__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_90335225","scr aza+atra","small_molecule",1,1,NA,"head and neck squamous cell carcinoma__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9036db33","plasma stimulation","environmental",1,1,NA,"blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_903dbb1b","ild.apex","disease_vs_normal",1,1,NA,"Whole lung__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9048aa4e","non-small cell lung carcinoma (nsclc)","disease_vs_normal",1,1,NA,"lung__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9082ee23","dexa-treated","small_molecule",1,1,NA,"Peripheral blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_909405bd","treated with 10 î¼m ne for 137 days","small_molecule",1,1,NA,"Fallopian tube secretory cells__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_909cc2d7","smoking","environmental",1,1,NA,"oral mucosa__VS__environmental",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_90a055ff","fla-st ultrapure","pathogen_or_aggregate_exposure",1,1,NA,"colon__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_90b1156b","atra+cfz","small_molecule",1,1,NA,"Multiple Myeloma__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_90b5dec7",NA,"disease_vs_normal",1,1,NA,"neuroblastoma__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_90c1420e","CD3/CD28","cytokine_stim",1,1,NA,"Peripheral blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_90d84ddd","Cryptosporidium hominis","pathogen_or_aggregate_exposure",1,1,NA,"epithelial intestinal cells (hALI)__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_90f4338b","BAY651942","small_molecule",1,1,NA,"hiPS derived RPE monolayers__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_910dc348","ods","disease_vs_normal",1,1,NA,"Rectal wall__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_911514d2","Blueberry_SunflowerOil","environmental",1,1,NA,"blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9121ea36","bleomycin/nad+","small_molecule",1,1,NA,"prostate__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_91465e39","ductal","disease_vs_normal",1,1,NA,"Breast tumor__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_91507f68","382-deletion-mutant","pathogen_or_aggregate_exposure",1,1,NA,"nasal epithelium__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_916901dd","compound 3","small_molecule",1,1,NA,"adrenal gland__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_916c0a4e","Hepatitis B virus","pathogen_or_aggregate_exposure",1,1,NA,"Portal vein tumor thrombosis (PVTT)__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_917133b2","bleomycin/pcc1","small_molecule",1,1,NA,"prostate__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_917fb3fc","dsm-iv major depressive disorder suicides (mdd-s)","disease_vs_normal",1,1,NA,"brain__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9188414d","Wild type iPSCs line","differentiation",1,1,NA,"iPSC-derived organoid__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_919322e2",NA,"genetic_overexpression",1,1,NA,"Breast Epithelium__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9196345d","food injection","environmental",1,1,NA,"esophagus__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_91a22feb","lmk235 for 16 hours","small_molecule",1,1,NA,"cord blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_91cbe27f","cases","disease_vs_normal",1,1,NA,"hemorrhoid tissue/anal canal__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_91ef55c5","disulfiram/cu","small_molecule",1,1,NA,"breast__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_91fa3cc9","CCR4-NOT transcription complex subunit 7","genetic_knockdown",1,1,NA,"Colon epithelial__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9220746b","Diesel exhaust particles","environmental",1,1,NA,"lung__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9256c473","ki696","small_molecule",1,1,NA,"lung__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_92659286","p. gingivalis w83 omvs","pathogen_or_aggregate_exposure",1,1,NA,"Periodontal Ligament__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_927ecb4f","patient 4 (low-grade glioma), rna-seq of brain tumor tissue","disease_vs_normal",1,1,NA,"brain__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_92bd6e05",NA,"environmental",1,1,NA,"adipose tissue__VS__environmental",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_92c22702","TCR stimulation","mechanical",1,1,NA,"Peripheral blood__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_92e96b97","TIV","environmental",1,1,NA,"nasal mucosa__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9312a723","Borrelia burgdorferi","pathogen_or_aggregate_exposure",1,1,NA,"Choroid Plexus__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_931d571f","compound 2","small_molecule",1,1,NA,"adrenal gland__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_933a23a8","jmml-ptpn11mutated","disease_vs_normal",1,1,NA,"bone marrow__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93459785","asthmatic","disease_vs_normal",1,1,NA,"Lung__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9370ae0e","sscl","disease_vs_normal",1,1,NA,"lung__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9370eae3",NA,"environmental",1,1,NA,"retinal pigment epithelium__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9378b96e","schizophrenia","disease_vs_normal",1,1,NA,"peripheral blood__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93837047","40 um bifp containing discoidin domain receptors 2 (ddr2","small_molecule",1,1,NA,"Lower anterior deciduous teeth__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93b9ccce","sisox2","small_molecule",1,1,NA,"ovary__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93d1336c",NA,"disease_vs_normal",3,3,NA,"brain__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93eaa953","erosive rheumatoid arthritis (ra)","disease_vs_normal",1,1,NA,"blood__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93efabd2","siRNA targeting SRSF7","genetic_knockdown",1,1,NA,"kidney__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93f46246","severe atherosclerosis","disease_vs_normal",1,1,NA,"blood__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_93f67013",NA,"genetic_knockout",1,1,NA,"cerebellum__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_941add63","als spectrum mnd","disease_vs_normal",1,1,NA,"brain__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_94294529","control vector","genetic_overexpression",1,1,NA,"skin__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_942ac47f","human perpesvirus 5","pathogen_or_aggregate_exposure",1,1,NA,"skin__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_944a2c6b","pnm","small_molecule",1,1,NA,"pancreas__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9450de8c",NA,"genetic_knockdown",1,1,NA,"Pancreatic ductal adenocarcinoma__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9453e9ac","kdoba67","small_molecule",1,1,NA,"chordoma__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_94788bde","bacillus calmette-guerin vaccine","pathogen_or_aggregate_exposure",1,1,NA,"bladder__VS__disease_vs_normal",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_949c75d3","betiic90 resistant cells with 24h p300i treatment","small_molecule",1,1,NA,"Transformed hematopoiesis__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_94b34665","clad.base","disease_vs_normal",1,1,NA,"Whole lung__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_94b61e31","UVA exposure","environmental",1,1,NA,"Cornea__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_94cc71ca",NA,"environmental",1,1,NA,"placenta__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_94db6ead","mpxv clade i infected","pathogen_or_aggregate_exposure",1,1,NA,"large intestine__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_94f519b5","kshvinfected","pathogen_or_aggregate_exposure",1,1,NA,"gingiva__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_95049418","siRNA targeting SBNO2","genetic_knockdown",1,1,NA,"skin__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_951421ea","cd","disease_vs_normal",1,1,NA,"colon biopsy__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_952f001b","siRNA targeting SRSF2","genetic_knockdown",1,1,NA,"cervix__VS__vehicle_only",FALSE,"OMOGENEO+MAL_nominato","candidate"
"pair_L4_9530099a","emphysema","disease_vs_normal",1,1,NA,"lung__VS__none",FALSE,"OMOGENEO+MAL_nominato","candidate"
