"entity","kind","level","n_members","n_override","k_membri","k_eff_pre","k_eff_post","gain"
"MeSH:D000077195","disease_vs_normal",4,4,3,5,0,1,1
"MeSH:D000077195","disease_vs_normal",4,6,5,6,0,1,1
"MeSH:D000077195","disease_vs_normal",4,3,3,3,0,1,1
"MeSH:D000077195","disease_vs_normal",3,3,2,9,0,1,1
"MeSH:D000077195","disease_vs_normal",3,3,2,3,0,1,1
"MeSH:D000077195","disease_vs_normal",3,4,4,4,0,1,1
"MeSH:D000077195","disease_vs_normal",3,3,3,3,0,1,1
"MeSH:D000077273","disease_vs_normal",4,3,2,4,0,1,1
"MeSH:D000077273","disease_vs_normal",3,3,2,3,0,1,1
"MeSH:D001943","disease_vs_normal",4,3,2,6,0,1,1
"MeSH:D001943","disease_vs_normal",3,3,2,5,0,1,1
"MeSH:D001943","disease_vs_normal",1,4,3,6,0,1,1
"MeSH:D001943","disease_vs_normal",0,4,3,6,0,1,1
"MeSH:D001943","disease_vs_normal",0,3,2,13,0,1,1
"MeSH:D002292","disease_vs_normal",4,4,3,4,0,1,1
"MeSH:D005909","disease_vs_normal",4,4,3,4,0,1,1
"MeSH:D005909","disease_vs_normal",3,4,3,4,0,1,1
"MeSH:D010051","disease_vs_normal",4,3,2,4,0,1,1
"MeSH:D010051","disease_vs_normal",3,3,2,13,0,1,1
"MeSH:D010300","disease_vs_normal",4,2,1,3,0,1,1
"MeSH:D010300","disease_vs_normal",3,2,1,3,0,1,1
"MeSH:D010300","disease_vs_normal",2,2,1,3,0,1,1
"MeSH:D010300","disease_vs_normal",1,2,1,3,0,1,1
"MeSH:D010300","disease_vs_normal",0,2,1,3,0,1,1
"MeSH:D011371","disease_vs_normal",4,7,6,5,0,1,1
"MeSH:D011471","disease_vs_normal",4,15,14,3,0,1,1
"MeSH:D015179","disease_vs_normal",4,7,6,16,0,1,1
"MeSH:D015179","disease_vs_normal",4,4,3,6,0,1,1
"MeSH:D015179","disease_vs_normal",4,2,1,4,0,1,1
"MeSH:D015179","disease_vs_normal",3,3,2,5,0,1,1
"MeSH:D015179","disease_vs_normal",3,2,1,3,0,1,1
"MeSH:D015179","disease_vs_normal",3,2,1,4,0,1,1
"MeSH:D015179","disease_vs_normal",2,5,4,8,0,1,1
"MeSH:D015179","disease_vs_normal",1,5,4,7,0,1,1
"MeSH:D015179","disease_vs_normal",0,4,3,6,0,1,1
"MeSH:D015212","disease_vs_normal",4,4,3,6,0,1,1
"MeSH:D015212","disease_vs_normal",3,6,5,6,0,1,1
"MeSH:D015212","disease_vs_normal",3,4,3,5,0,1,1
"MeSH:D015470","disease_vs_normal",4,3,2,4,0,1,1
"MeSH:D015470","disease_vs_normal",3,3,2,4,0,1,1
"MeSH:D016403","disease_vs_normal",4,4,4,4,0,1,1
"MeSH:D016403","disease_vs_normal",3,4,4,4,0,1,1
"MeSH:D064726","disease_vs_normal",4,4,4,3,0,1,1
"MeSH:D064726","disease_vs_normal",3,9,8,17,0,1,1
"CHEBI:16412","environmental",4,4,4,4,0,1,1
"CHEBI:17026","environmental",3,3,3,3,0,1,1
"CHEBI:17688","environmental",4,2,1,3,0,1,1
"MeSH:D003424","environmental",4,6,6,3,0,1,1
"MeSH:D029424","environmental",4,2,2,4,0,1,1
"MeSH:D059305","environmental",3,3,3,3,0,1,1
"HGNC:4071","genetic_knockdown",4,4,3,3,0,1,1
"HGNC:6407","genetic_knockdown",4,2,1,3,0,1,1
"MeSH:D001749","genetic_knockdown",4,2,2,3,0,1,1
"MeSH:D015179","genetic_overexpression",4,2,1,5,0,1,1
"MeSH:D015179","genetic_overexpression",3,2,1,3,0,1,1
"CHEBI:16412","pathogen_or_aggregate_exposure",3,2,2,4,0,1,1
"NCBITaxon:10359","pathogen_or_aggregate_exposure",4,3,2,4,0,1,1
"NCBITaxon:12637","pathogen_or_aggregate_exposure",4,5,5,4,0,1,1
"NCBITaxon:12637","pathogen_or_aggregate_exposure",3,4,4,3,0,1,1
"NCBITaxon:1280","pathogen_or_aggregate_exposure",4,3,2,4,0,1,1
"NCBITaxon:12814","pathogen_or_aggregate_exposure",4,3,2,3,0,1,1
"NCBITaxon:1773","pathogen_or_aggregate_exposure",4,2,1,5,0,1,1
"NCBITaxon:5658","pathogen_or_aggregate_exposure",4,3,3,3,0,1,1
"NCBITaxon:5658","pathogen_or_aggregate_exposure",3,3,3,3,0,1,1
"NCBITaxon:746128","pathogen_or_aggregate_exposure",4,3,2,3,0,1,1
"NCBITaxon:837","pathogen_or_aggregate_exposure",4,5,4,3,0,1,1
"CHEBI:16469","small_molecule",2,2,1,3,0,1,1
"CHEBI:18258","small_molecule",4,2,1,3,0,1,1
"CHEBI:27899","small_molecule",3,2,1,3,0,1,1
"CHEBI:36706","small_molecule",3,3,2,3,0,1,1
"CHEBI:50729","small_molecule",4,2,1,3,0,1,1
"CHEBI:68534","small_molecule",2,7,6,5,0,1,1
"CHEBI:68534","small_molecule",1,2,1,3,0,1,1
"CHEBI:68534","small_molecule",0,2,1,3,0,1,1
"NCBITaxon:1773","pathogen_or_aggregate_exposure",3,8,7,49,21,21,0
"MeSH:D006816","disease_vs_normal",4,4,3,23,17,17,0
"MeSH:D006816","disease_vs_normal",3,3,2,15,13,13,0
"MeSH:D014466","environmental",4,3,2,47,13,13,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",4,3,2,24,12,12,0
"MeSH:D011471","environmental",4,5,4,22,9,9,0
"NCBITaxon:10376","pathogen_or_aggregate_exposure",4,2,1,15,9,9,0
"MeSH:D020391","disease_vs_normal",4,2,1,13,8,8,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",3,2,1,14,7,7,0
"MeSH:D006528","disease_vs_normal",2,2,1,14,6,6,0
"MeSH:D006528","disease_vs_normal",1,2,1,14,6,6,0
"MeSH:D006528","disease_vs_normal",0,2,1,14,6,6,0
"MeSH:D009369","disease_vs_normal",4,8,7,29,6,6,0
"MeSH:D015470","disease_vs_normal",4,6,5,19,6,6,0
"CHEBI:84491","genetic_knockdown",4,3,2,21,6,6,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",4,2,1,26,6,6,0
"HGNC:11766","cytokine_stim",4,2,1,7,5,5,0
"MeSH:D009369","disease_vs_normal",3,8,7,24,5,5,0
"MeSH:D013274","disease_vs_normal",4,3,2,32,5,5,0
"MeSH:D013274","disease_vs_normal",3,2,1,12,5,5,0
"MeSH:D015470","disease_vs_normal",3,3,2,14,5,5,0
"CHEBI:84491","genetic_knockdown",3,3,2,20,5,5,0
"MeSH:D006528","genetic_overexpression",4,2,1,14,5,5,0
"NCBITaxon:10407","pathogen_or_aggregate_exposure",4,6,5,19,5,5,0
"NCBITaxon:1313","pathogen_or_aggregate_exposure",4,2,1,10,5,5,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",3,3,2,13,5,5,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",2,2,1,12,5,5,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",2,3,2,12,5,5,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,18,17,12,5,5,0
"MeSH:D000077192","disease_vs_normal",3,10,9,76,4,4,0
"MeSH:D007680","disease_vs_normal",4,7,6,27,4,4,0
"MeSH:D065626","disease_vs_normal",4,2,1,7,4,4,0
"MeSH:D065626","disease_vs_normal",3,2,1,7,4,4,0
"MeSH:D014466","environmental",3,3,2,14,4,4,0
"CHEBI:16412","pathogen_or_aggregate_exposure",4,2,1,11,4,4,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",3,2,1,18,4,4,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",1,2,1,10,4,4,0
"NCBITaxon:1773","pathogen_or_aggregate_exposure",0,2,1,10,4,4,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",4,4,3,7,4,4,0
"NCBITaxon:2697049","pathogen_or_aggregate_exposure",3,2,1,4,4,4,0
"CHEBI:63637","small_molecule",4,2,1,11,4,4,0
"HGNC:11766","cytokine_stim",4,2,1,4,3,3,0
"MeSH:D000077195","disease_vs_normal",4,5,4,10,3,3,0
