"cluster_id","kind","mode","n_studies","agent_id_resolved","canonical_name","n_members","n_members_resolved","n_named_diseases","n_named_compounds","n_distinct_ids","distinct_id_sample","is_minestrone"
"group_L3_dda5387f","small_molecule","group",12,"UNK",NA,233,233,0,20,20,"CHEBI:188197|CHEBI:43717|STR:atra_tcp_treated_cycle2_day1|STR:atra_tcp_treated_cycle3_day1|STR:atra_tcp_treated_cycle3_day15",TRUE
"group_L3_de29efb0","disease_vs_normal","group",4,"UNK",NA,7,7,0,0,0,"",FALSE
"group_L3_de69ca64","small_molecule","group",12,"UNK",NA,261,261,0,13,13,"CHEBI:136185|CHEBI:37845|CHEBI:70778|CHEBI:73634|HGNC:MTARC1",TRUE
"group_L3_de944492","disease_vs_normal","group",4,"UNK",NA,30,30,0,0,0,"",FALSE
"group_L3_ded526c2","disease_vs_normal","group",2,"UNK",NA,2,2,1,0,1,"MeSH:D002292",FALSE
"group_L3_df382aec","small_molecule","group",2,"UNK",NA,8,8,0,3,3,"STR:e2_10_nm_30_min|STR:e2_10_nm_60_min|STR:treated_with_jg_98_for_12hours",TRUE
"group_L3_df75aed3","small_molecule","group",4,"UNK",NA,103,103,0,8,8,"CHEBI:16670|STR:egta_cpe_inhibition|STR:erki_0nm|STR:erki_1000nm|STR:erki_15_6nm",TRUE
"group_L3_dfa06a15","pathogen_or_aggregate_exposure","group",6,"STR:hepatitis b virus","Hepatitis B virus",16,16,0,0,0,"",FALSE
"group_L3_e00b6637","disease_vs_normal","group",2,"UNK",NA,15,15,0,0,0,"",FALSE
"group_L3_e0176168","disease_vs_normal","group",2,"UNK",NA,8,8,1,0,1,"STR:pancreatic_adenocarcinoma",FALSE
"group_L3_e02a8a12","disease_vs_normal","group",20,"UNK",NA,62,62,8,0,8,"MeSH:D000077192|MeSH:D008175|STR:human_lung_cancer|STR:lung_cancer_parent_cell|STR:lung_carcinoma_epithelium",TRUE
