series	n_sc	n_total	frac_sc	role	geo	libsrc	title	src
GSE244889	6	12	0.5	SC	GSM7831814	transcriptomic single cell	Pb-55F,grade 1, MDD 2, scRNAseq	nucleus pulposus tissue
GSE244889	6	12	0.5	BULK	GSM7831820	transcriptomic	S11-P2-M50, grade 2, MDD1,RNAseq	nucleus pulposus tissue
GSE244889	6	12	0.5	BULK	GSM7831821	transcriptomic	S12-P2-F58, grade 2,MDD2,RNAseq	nucleus pulposus tissue
GSE211562	2	4	0.5	SC	GSM6477010	transcriptomic single cell	Pooled GEX library for 8 lung organoids_1	lung
GSE211562	2	4	0.5	SC	GSM6477012	transcriptomic single cell	Pooled GEX library for 8 lung organoids_2	lung
GSE211562	2	4	0.5	BULK	GSM6477011	other	Pooled LMO library for 8 lung organoids_1	lung
GSE211562	2	4	0.5	BULK	GSM6477013	other	Pooled LMO library for 8 lung organoids_2	lung
GSE179681	1	2	0.5	SC	GSM6783639	transcriptomic single cell	hFOB1.19 Osteoblasts	hFOB1.19
GSE179681	1	2	0.5	BULK	GSM5426213	transcriptomic	OS17_culture_Rep2	Cell line - human
GSE184526	1	2	0.5	SC	GSM6077685	transcriptomic single cell	hSMG organoid, late passages	human submandibular gland
GSE184526	1	2	0.5	BULK	GSM5591914	transcriptomic	tissues	salivary gland tissues
GSE185472	1	2	0.5	SC	GSM6679387	transcriptomic single cell	iPSC822_8m_transplant, snRNAseq	cortical organoid
GSE185472	1	2	0.5	BULK	GSM5615952	transcriptomic	iPSC822_6m_transplant, snRNAseq	brain organoid
GSE209676	1	2	0.5	SC	GSM6383325	transcriptomic single cell	Patients COVID-19, TCR-derived cDNA	peripheral blood
GSE209676	1	2	0.5	BULK	GSM6383326	other	Patients COVID-19, HTO-derived cDNA	peripheral blood
GSE210376	1	2	0.5	SC	GSM6429482	transcriptomic single cell	Multiplexing Capture	WTC-11
GSE210376	1	2	0.5	BULK	GSM7851385	other	Multiplexing Capture of negative controls	WTC-11
GSE215253	1	2	0.5	SC	GSM7110873	transcriptomic single cell	Differentiated HSPCs day 9 erythroid, GATA1 library, rep29, scRNA-seq	Hematopoietic system
GSE215253	1	2	0.5	BULK	GSM6630384	other	Differentiated HSPCs, 4 arrayed lentiviruses, rep 2,  barcoded antibody (ADT)	Hematopoietic system
GSE223484,GSE223496	1	2	0.5	SC	GSM6957445	transcriptomic single cell	scRNAseq_BdLTseq_HA1ER_F12_clone_GEx [scRNAseq_BdLTseq_HA1ER_F12_clone_1]	HA1ER
GSE223484,GSE223496	1	2	0.5	BULK	GSM6957446	other	scRNAseq_BdLTseq_HA1ER_F12_clone_BdLTseq_HTO [scRNAseq_BdLTseq_HA1ER_F12_clone_1]	HA1ER
GSE223488,GSE223496	1	2	0.5	SC	GSM6957518	transcriptomic single cell	scRNAseq_BdLTseq_HA1ER_F12_clone_BdLTseq  [scRNAseq_BdLTseq_HA1ER_F12_clone_2]	HA1ER
GSE223488,GSE223496	1	2	0.5	BULK	GSM6957517	other	scRNAseq_BdLTseq_HA1ER_F12_clone_HTO [scRNAseq_BdLTseq_HA1ER_F12_clone_2]	HA1ER
GSE223491,GSE223496	1	2	0.5	SC	GSM6957527	transcriptomic single cell	scRNAseq_BdLTseq_HA1E_E7_clone_BdLTseq [scRNAseq_BdLTseq_HA1E_E7_clone]	HA1E
GSE223491,GSE223496	1	2	0.5	BULK	GSM6957526	other	scRNAseq_BdLTseq_HA1E_E7_clone_HTO [scRNAseq_BdLTseq_HA1E_E7_clone]	HA1E
GSE224550	1	2	0.5	SC	GSM7025839	transcriptomic single cell	P1 CAR+ D13 - mRNA	CAR T
GSE224550	1	2	0.5	BULK	GSM7025864	other	P8 CAR+ D8 - ADT	CAR T
GSE269631	1	2	0.5	SC	GSM8323257	transcriptomic single cell	Sample 2, PBMC, pre treatment, Adalimumab responder (GEX)	Peripheral venous blood
GSE269631	1	2	0.5	BULK	GSM8323261	other	Samples 4-5, PBMC, post treatment, Adalimumab non-responder (CMO)	Peripheral venous blood
GSE199378	5	11	0.454545454545455	SC	GSM6038245	transcriptomic single cell	Monocyte-derived M1 macrophages (D1) [GEN-LIB]	Monocyte-derived macrophages
GSE199378	5	11	0.454545454545455	SC	GSM6038247	transcriptomic single cell	Monocyte-derived M2a macrophages (D1) [GEN-LIB]	Monocyte-derived macrophages
