cluster_id	method	n_total	n_drop_a1	n_drop_a2	n_drop_a3_scprob	n_drop_a3_libsize	n_drop_union_sc	frac_sc
pair_L4_9ecb3530	mega_aug	31	0	19	0	0	19	0.612903225806452
pair_L4_a26aa50e	mega_aug	20	0	20	0	0	20	1
pair_L4_a2d4af8a	mega_aug	32	0	0	0	0	0	0
pair_L4_a3e6026e	mega_aug	32	16	0	0	0	16	0.5
pair_L4_a5701860	mega_aug	17	0	0	0	0	0	0
pair_L4_a986f561	mega_aug	13	0	0	0	0	0	0
pair_L4_ab580ca6	mega_aug	15	0	0	0	0	0	0
pair_L4_ad2e0818	mega_aug	13	0	0	0	0	0	0
pair_L4_afe68c8c	mega_aug	31	0	0	0	0	0	0
pair_L4_b262e48e	mega_aug	7	0	6	0	0	6	0.857142857142857
pair_L4_b2cdc41a	mega_aug	10	0	0	0	0	0	0
pair_L4_b306ea72	mega_aug	16	0	0	0	0	0	0
pair_L4_b4d8ba0d	mega_aug	13	0	0	0	0	0	0
pair_L4_b5c447d0	mega_aug	8	0	0	0	0	0	0
pair_L4_b83d4c6b	mega_aug	12	0	0	0	0	0	0
pair_L4_bb9c4026	mega_aug	18	0	0	0	0	0	0
pair_L4_bf0996a3	mega_aug	24	0	0	0	0	0	0
pair_L4_bfdb5a46	mega_aug	24	0	24	0	0	24	1
pair_L4_c121dbf3	mega_aug	15	0	0	0	0	0	0
pair_L4_c2fb1e26	mega_aug	44	0	0	0	0	0	0
pair_L4_c38a5103	mega_aug	15	0	0	0	0	0	0
pair_L4_c3d93754	mega_aug	9	0	0	0	0	0	0
pair_L4_c7c217f2	mega_aug	11	0	0	0	0	0	0
pair_L4_c8bca6a0	mega_aug	10	0	0	0	0	0	0
