"n","scheda","nome","entita","verso","controllo","cluster_id","studi","campioni","verdetto"
179,"179-cteph-k03.txt","cteph","STR:cteph","gain","vehicle_untreated","cgroup_L5_79b3a442",3,24,"corretta"
180,"180-fshd-k03.txt","fshd","STR:fshd","gain","vehicle_untreated","cgroup_L5_17b55386",3,55,"corretta"
181,"181-g007_lk-k03.txt","g007 lk","STR:g007_lk","gain","vehicle_untreated","cgroup_L5_777adc83",3,34,"corretta"
182,"182-idiopathic_pulmonary_fibrosis-k03.txt","idiopathic pulmonary fibrosis","STR:idiopathic_pulmonary_fibrosis","gain","vehicle_untreated","cgroup_L5_dd2a13de",3,49,"corretta"
183,"183-ifna-k03.txt","ifna","STR:ifna","gain","vehicle_untreated","cgroup_L5_9bdf0dcb",3,22,"corretta"
184,"184-medulloblastoma-k03.txt","medulloblastoma","STR:medulloblastoma","gain","vehicle_untreated","cgroup_L5_70f8671b",3,212,"incerta"
185,"185-myotonic_dystrophy_type_1-k03.txt","myotonic dystrophy type 1","STR:myotonic_dystrophy_type_1","gain","vehicle_untreated","cgroup_L5_d6fad784",3,103,"difettosa"
186,"186-nahs-k03.txt","nahs","STR:nahs","gain","vehicle_untreated","cgroup_L5_469db990",3,18,"corretta"
187,"187-osteoarthritis-k03.txt","osteoarthritis","STR:osteoarthritis","gain","vehicle_untreated","cgroup_L5_3fa847fe",3,127,"incerta"
188,"188-pdac-k03.txt","pdac","STR:pdac","gain","vehicle_untreated","cgroup_L5_3de56a79",3,20,"incerta"
189,"189-pm2_5-k03.txt","pm2 5","STR:pm2_5","gain","vehicle_untreated","cgroup_L5_a747a14e",3,18,"corretta"
190,"190-ptsd-k03.txt","ptsd","STR:ptsd","gain","vehicle_untreated","cgroup_L5_36b956de",3,72,"incerta"
191,"191-sirna_pool_against_igf2bp1-k03.txt","sirna pool against igf2bp1","STR:sirna_pool_against_igf2bp1","block","control sirna","cgroup_L5_eedd08cb",3,20,"corretta"
192,"192-tb_positive-k03.txt","tb positive","STR:tb_positive","gain","tb negative","cgroup_L5_9de3f0ea",3,146,"corretta"
