"studio","n_ricevuti","n_collocati","n_persi","persi"
"GSE190181",6,6,0,""
"GSE190350",17,17,0,""
"GSE190405",16,16,0,""
"GSE190496",25,24,1,"GSM5724765"
"GSE190634",24,24,0,""
"GSE190705",9,9,0,""
"GSE191101",8,8,0,""
"GSE191231",4,4,0,""
"GSE191248",16,16,0,""
"GSE191279",71,71,0,""
"GSE192771",12,12,0,""
"GSE192903",12,12,0,""
"GSE193133",11,11,0,""
"GSE193330",12,12,0,""
"GSE193398",12,12,0,""
"GSE193414",18,18,0,""
"GSE193660",9,9,0,""
