"cluster_id","entita","k","n_studi_accusati","peso_contaminato","verdetto","esito","n_studi_tolti","spearman","n_sig_pieno","n_sig_persi","pct_sig_persi","max_abs_delta_logFC","k_pieno","k_ridotto","sopravvive","percentile_sig","percentile_spearman","percentile_delta","n_nulli","bracci_accusati","bracci_nulli_mediana"
"cgroup_L5_777adc83","g007 lk",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_7784bb43","pcos",6,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_7934174c","tazemetostat",10,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_79b3a442","cteph",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_79ce3bd1","bleomycin A2",7,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_81b706c4","paclitaxel",6,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_828ae0cb","TWEAK (TNFSF12)",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_83b1f88c","neratinib",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_844de383","sjogren s syndrome",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_85083e38","Parkinson Disease",8,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_8958b27a","Nutlin",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_8a54ddd6","doxorubicin",15,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_8ac307e0","cabozantinib",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_8c9339f5","Zika virus",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_922312d6","ruxolitinib",6,0,0,"incerta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_92f4f307","isoprenaline",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_93068469","5-azacytidine",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_96c9f7bf","bipolar disorder",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_988d478d","copd",4,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_9bdf0dcb","ifna",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
"cgroup_L5_9de3f0ea","tb positive",3,0,0,"corretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
