"cluster_id","k_effective","n_studi_poolati","contrast_entity","contrast_entity_label","contrast_direction","contrast_control_key","k_eff_mio","k_censito","n_studi_censiti","scarto"
"cgroup_L5_c054e202",6,6,"CHEBI:9168","sirolimus","gain","vehicle_untreated",6,8,8,0
"cgroup_L5_c0d1d837",19,19,"CHEBI:68534","enzalutamide","gain","vehicle_untreated",19,29,29,0
"cgroup_L5_c13b1103",5,5,"MeSH:D065626","Non-alcoholic Fatty Liver Disease","gain","vehicle_untreated",5,5,5,0
"cgroup_L5_c3ae78cd",10,10,"MeSH:D003424","Crohn Disease","gain","vehicle_untreated",10,16,16,0
"cgroup_L5_c548d053",35,35,"CHEBI:16412","lipopolysaccharide","gain","vehicle_untreated",35,50,50,0
"cgroup_L5_c5e86fe9",7,7,"CHEBI:83766","olaparib","gain","vehicle_untreated",7,15,15,0
"cgroup_L5_c860712d",5,5,"STR:cystic_fibrosis","cystic fibrosis","gain","vehicle_untreated",5,7,7,0
"cgroup_L5_cacf5d1a",3,3,"STR:f_nucleatum","f nucleatum","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_cf34c533",3,3,"CHEBI:46742","Nutlin-3","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_cfad03a8",3,3,"STR:hepatoblastoma","hepatoblastoma","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_d28620cd",3,3,"CHEBI:15738","staurosporine","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_d2c64672",4,4,"CHEBI:61080","romidepsin","gain","vehicle_untreated",4,6,6,0
"cgroup_L5_d411c435",5,5,"CHEBI:29699","tunicamycin","gain","vehicle_untreated",5,6,6,0
"cgroup_L5_d53bf74e",3,3,"MeSH:D008224","Lymphoma, Follicular","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_d5e39a5d",4,4,"STR:sarcopenia","sarcopenia","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_d631ee89",3,3,"HGNC:6011","IL3","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_d7abf612",3,3,"CHEBI:28201","rotenone","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_d7ad915e",7,7,"CHEBI:39867","valproic acid","gain","vehicle_untreated",7,8,8,0
"cgroup_L5_d8006c5b",3,3,"CHEBI:31941","oxaliplatin","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_d9e23e09",32,32,"HGNC:11892","TNF","gain","vehicle_untreated",32,41,41,0
"cgroup_L5_dc7451b1",7,7,"CHEBI:230493","pinometostat","gain","vehicle_untreated",7,8,8,0
"cgroup_L5_dcce160a",4,4,"CHEBI:41977","daunorubicin","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_dd2a13de",3,3,"STR:idiopathic_pulmonary_fibrosis","idiopathic pulmonary fibrosis","gain","vehicle_untreated",3,7,7,0
"cgroup_L5_dd2a1a58",5,5,"STR:heart_failure","heart failure","gain","vehicle_untreated",5,6,6,0
"cgroup_L5_dde29fb4",8,8,"CHEBI:16240","hydrogen peroxide","gain","vehicle_untreated",8,20,20,0
"cgroup_L5_debadb13",3,3,"NCBITaxon:10407","hepatitis B virus","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_df599af1",5,5,"STR:sepsis","sepsis","gain","vehicle_untreated",5,7,7,0
"cgroup_L5_e16bfa7f",3,3,"CHEMBL:CHEMBL4297454","ABBV-744","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_e17c136b",3,3,"CHEBI:145535","pevonedistat","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_e294a3bc",3,3,"CHEBI:49852","DRB","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_e7eebebd",3,3,"STR:steatotic","steatotic","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_ea4a1823",3,3,"CHEBI:22984","calcium atom","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_eb5e1e65",13,13,"CHEBI:41879","dexamethasone","gain","vehicle_untreated",13,20,20,0
"cgroup_L5_eba39954",4,4,"MeSH:D000074285","Smokers","gain","non smoker",4,5,5,0
"cgroup_L5_ee94648c",3,3,"NCBITaxon:562","Escherichia coli","gain","vehicle_untreated",3,6,6,0
"cgroup_L5_eedd08cb",3,3,"STR:sirna_pool_against_igf2bp1","sirna pool against igf2bp1","block","control sirna",3,4,4,0
"cgroup_L5_efced505",9,9,"CHEBI:38940","sunitinib","gain","vehicle_untreated",9,11,11,0
"cgroup_L5_f2139c4f",3,3,"CHEBI:94287","erastin","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_f2481870",3,3,"CHEMBL:CHEMBL2022968","DUBERMATINIB","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_f29dd3b3",5,5,"MeSH:D001172","Arthritis, Rheumatoid","gain","vehicle_untreated",5,7,7,0
"cgroup_L5_f34ff8df",3,3,"CHEBI:4911","etoposide","gain","vehicle_untreated",3,13,13,0
"cgroup_L5_f51ff620",4,4,"STR:asthmatic","asthmatic","gain","vehicle_untreated",4,4,4,0
"cgroup_L5_f56d966d",3,3,"CHEMBL:CHEMBL2177390","IPATASERTIB","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_f640365a",3,3,"CHEBI:50385","hemin","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_f832048f",5,5,"MeSH:D001943","Breast Neoplasms","gain","vehicle_untreated",5,6,6,0
"cgroup_L5_f94b6180",22,22,"CHEBI:379896","R1881 (metribolone)","gain","vehicle_untreated",22,26,26,0
"cgroup_L5_f956ef98",5,5,"CHEBI:28119","TCDD","gain","vehicle_untreated",5,7,7,0
"cgroup_L5_f97e50de",8,8,"CHEBI:64310","crizotinib","gain","vehicle_untreated",8,11,11,0
"cgroup_L5_f9cc41b3",3,3,"STR:vtp50469","vtp50469","gain","vehicle_untreated",3,3,3,0
"cgroup_L5_fd0c6a79",4,4,"CHEBI:68647","regorafenib","gain","vehicle_untreated",4,5,5,0
"cgroup_L5_fea19ca0",3,3,"HGNC:5434","IFNB1","gain","vehicle_untreated",3,4,4,0
"cgroup_L5_ff45f67e",3,3,"COMBO:ionomycin+pma","ionomycin + pma","gain","vehicle_untreated",3,5,5,0
"cgroup_L5_ff78d2a8",3,3,"CHEBI:15365","acetylsalicylic acid","gain","vehicle_untreated",3,5,5,0
