"cluster_id","key","ruolo","contrast_entity","contrast_direction","contrast_control_key","k","n_studies","level"
"cgroup_L5_62404e11","CHEBI:4026||gain","vincente","CHEBI:4026","gain","vehicle_untreated",4,4,5
"cgroup_L5_63180d66","CHEBI:138438||gain","vincente","CHEBI:138438","gain","vehicle_untreated",3,3,5
"cgroup_L5_63e69fdc","MeSH:D000544||gain","vincente","MeSH:D000544","gain","vehicle_untreated",7,7,5
"cgroup_L5_64adcd6b","STR:srsf1_knockdown||block","vincente","STR:srsf1_knockdown","block","vehicle_untreated",3,3,5
"cgroup_L5_64c55823","STR:smoking||gain","vincente","STR:smoking","gain","vehicle_untreated",3,3,5
"cgroup_L5_64fbeb97","CHEBI:102218||gain","vincente","CHEBI:102218","gain","vehicle_untreated",4,4,5
"cgroup_L5_67e7722b","STR:osteogenic_differentiation||gain","vincente","STR:osteogenic_differentiation","gain","vehicle_untreated",3,3,5
"cgroup_L5_680b6b9c","HGNC:8975||gain","vincente","HGNC:8975","gain","vehicle_untreated",3,3,5
"cgroup_L5_6ac5ea3a","CHEBI:68747||gain","vincente","CHEBI:68747","gain","vehicle_untreated",4,4,5
"cgroup_L5_6b7b8076","MeSH:D000077273||gain","vincente","MeSH:D000077273","gain","vehicle_untreated",4,4,5
"cgroup_L5_6c7f9e9e","MeSH:D015451||gain","vincente","MeSH:D015451","gain","vehicle_untreated",3,3,5
"cgroup_L5_6ce4ac22","STR:tuberculosis||gain","vincente","STR:tuberculosis","gain","vehicle_untreated",3,3,5
"cgroup_L5_6d58c751","MeSH:D008113||gain","vincente","MeSH:D008113","gain","vehicle_untreated",3,3,5
"cgroup_L5_6df6a50e","CHEBI:50924||gain","vincente","CHEBI:50924","gain","vehicle_untreated",17,17,5
"cgroup_L5_6e9f3913","STR:ovarian_tumor||gain","vincente","STR:ovarian_tumor","gain","vehicle_untreated",3,3,5
"cgroup_L5_6ee86f02","MeSH:D013167||gain","vincente","MeSH:D013167","gain","vehicle_untreated",3,3,5
"cgroup_L5_702a5dea","CHEBI:75998||gain","vincente","CHEBI:75998","gain","vehicle_untreated",15,15,5
"cgroup_L5_70f8671b","STR:medulloblastoma||gain","vincente","STR:medulloblastoma","gain","vehicle_untreated",3,3,5
"cgroup_L5_719ab136","MeSH:D012595||gain","vincente","MeSH:D012595","gain","vehicle_untreated",3,3,5
"cgroup_L5_721184e6","CHEBI:230500||gain","vincente","CHEBI:230500","gain","vehicle_untreated",18,18,5
"cgroup_L5_729b276d","MeSH:D016640||gain","vincente","MeSH:D016640","gain","vehicle_untreated",3,3,5
"cgroup_L5_74581ab0","NCBITaxon:10407||gain","scartato","NCBITaxon:10407","gain","vehicle_untreated_clin",3,3,5
"cgroup_L5_74daf1c9","STR:oscc||gain","vincente","STR:oscc","gain","vehicle_untreated",4,4,5
"cgroup_L5_75110535","STR:senescent||gain","vincente","STR:senescent","gain","vehicle_untreated",3,3,5
"cgroup_L5_759892f5","CHEBI:5931||gain","vincente","CHEBI:5931","gain","vehicle_untreated",3,3,5
"cgroup_L5_7636ff0e","STR:chronic_periodontitis||gain","vincente","STR:chronic_periodontitis","gain","vehicle_untreated",3,3,5
"cgroup_L5_766cd3c6","CHEBI:9513||gain","vincente","CHEBI:9513","gain","vehicle_untreated",3,3,5
"cgroup_L5_777adc83","STR:g007_lk||gain","vincente","STR:g007_lk","gain","vehicle_untreated",3,3,5
"cgroup_L5_7784bb43","STR:pcos||gain","vincente","STR:pcos","gain","vehicle_untreated",6,6,5
"cgroup_L5_7805eee6","STR:covid_19||gain","vincente","STR:covid_19","gain","vehicle_untreated",12,12,5
"cgroup_L5_7934174c","CHEBI:231598||gain","vincente","CHEBI:231598","gain","vehicle_untreated",13,13,5
"cgroup_L5_79981eb2","COMBO:il-13+il-4||gain","vincente","COMBO:il-13+il-4","gain","vehicle_untreated",3,3,5
"cgroup_L5_79a73ac5","NCBITaxon:11320||gain","vincente","NCBITaxon:11320","gain","vehicle_untreated",9,9,5
"cgroup_L5_79b3a442","STR:cteph||gain","vincente","STR:cteph","gain","vehicle_untreated",3,3,5
"cgroup_L5_79ce3bd1","CHEBI:3139||gain","vincente","CHEBI:3139","gain","vehicle_untreated",10,10,5
