"cluster_id","entita","k","classe_registro","antenato_di_membro","str_stato_o_ombrello","non_entita"
"cgroup_L5_95132c09","CHEBI:231604",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_956a16e0","CHEBI:15369+CHEBI:27666",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_95c46c05","NCBITaxon:5475",1,"taxon_sopra_specie",FALSE,FALSE,TRUE
"cgroup_L5_96bf9ea6","STR:autophagy_activating_ligand",1,"",FALSE,TRUE,TRUE
"cgroup_L5_96eaae84","MeSH:D009362",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_98063841","CHEBI:17347+CHEBI:18276",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_98684a9f","CHEBI:81351",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_98afe200","CHEBI:232798+CHEBI:26708",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_9b76532c","MeSH:D003251",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_9baaa7ce","MeSH:D001172",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_9d05237d","MeSH:D001172",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_9d267be4","CHEBI:41001+CHEMBL:CHEMBL2108905",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_9f0ea111","CHEBI:230484",4,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_9f999ca9","CHEBI:231605",2,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_a142d410","CHEBI:31952",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_a2fd9401","MeSH:D003882",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_a333f974","CHEBI:81528",1,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_a3c3e08c","MeSH:D008175",5,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_a3f0c959","CHEBI:232752",4,"chebi_non_curata",FALSE,FALSE,TRUE
"cgroup_L5_a412dc25","MeSH:D008175",1,"mesh_alto_nell_albero",FALSE,FALSE,TRUE
"cgroup_L5_a497d6cb","CHEBI:43717",2,"chebi_non_curata",FALSE,FALSE,TRUE
