"cluster_id","anchor_key","k","n_total","studies_in_cluster","canonical_name","contrast_entity","contrast_direction","contrast_control_key","contrast_entity_source","entita_canonica","fonte_risoluzione","fiducia"
"cgroup_L5_21b275d3","STR:ddx5_overexpression||gain||empty vector",1,6,"GSE207636","TRPV5","STR:ddx5_overexpression","gain","empty vector","STR","STR:ddx5_overexpression","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21bc8282","STR:injured||gain||vehicle_untreated",1,4,"GSE90711","peripheral nerve injury","STR:injured","gain","vehicle_untreated","STR","STR:injured","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21bd44e7","HGNC:18163||gain||vehicle_untreated",1,6,"GSE158434","IFNE","HGNC:18163","gain","vehicle_untreated","onto","HGNC:18163","GIA_CANONICO","nessuna"
"cgroup_L5_21be0c11","COMBO:flag-rbm39+rbm39||block||ctrl sirna",1,9,"GSE202134","RBM39","COMBO:flag-rbm39+rbm39","block","ctrl sirna","COMBO","COMBO:flag-rbm39+rbm39","GIA_CANONICO","nessuna"
"cgroup_L5_21bf1cb0","STR:cm_dependent_cmd||gain||cm independent cmi",1,7,"GSE237907","conditioned medium","STR:cm_dependent_cmd","gain","cm independent cmi","STR","STR:cm_dependent_cmd","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21c3fd3b","CHEBI:234429||gain||vehicle_untreated",1,19,"GSE148111","mitoquinone mesylate","CHEBI:234429","gain","vehicle_untreated","onto","CHEBI:234429","GIA_CANONICO","nessuna"
"cgroup_L5_21c617ce","STR:t3mixn||gain||vehicle_untreated",1,19,"GSE171566","thyroid hormone","STR:t3mixn","gain","vehicle_untreated","STR","STR:t3mixn","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21c73527","STR:siex1||gain||sicntrl",1,18,"GSE117193","RBMX","STR:siex1","gain","sicntrl","STR","STR:siex1","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21c7b0f0","STR:hsa_circ_0008399||gain||vector",1,4,"GSE173132","hsa_circ_0008399","STR:hsa_circ_0008399","gain","vector","anchor","STR:hsa_circ_0008399","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21c9088a","CHEBI:29108||gain||vehicle_untreated",2,11,"GSE201094;GSE228631","calcium(2+)","CHEBI:29108","gain","vehicle_untreated","anchor","CHEBI:29108","GIA_CANONICO","nessuna"
"cgroup_L5_21cb48ba","STR:shkras||gain||lacz overexpression",1,4,"GSE116823","KRAS","STR:shkras","gain","lacz overexpression","STR","STR:shkras","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21d0289e","CHEBI:379896||gain||phenol red free rpmi with fbs",1,4,"GSE119598","17β-hydroxy-17-methylestra-4,9,11-trien-3-one","CHEBI:379896","gain","phenol red free rpmi with fbs","onto","CHEBI:379896","GIA_CANONICO","nessuna"
"cgroup_L5_21da2479","STR:t1dnew||gain||vehicle_untreated",1,21,"GSE110914","type 1 diabetes","STR:t1dnew","gain","vehicle_untreated","STR","STR:t1dnew","STR_NON_TOCCATO","nessuna"
"cgroup_L5_21e4863c","STR:dclk1_in_1||gain||vehicle_untreated",1,15,"GSE140490","2.5 î¼m dclk1-in-1 for 24 h","STR:dclk1_in_1","gain","vehicle_untreated","STR","STR:dclk1_in_1","STR_NON_TOCCATO","nessuna"
