"id_a","id_b","chiave","tier","entrambi_nel_corpus","blocco"
"CHEBI:232616","CHEMBL:CHEMBL2402737","idasanutlin","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:232618","CHEMBL:CHEMBL2104247","broxaldine","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:233197","CHEMBL:CHEMBL3186849","cpi613","T2_canonico_alias",FALSE,""
"CHEBI:233309","CHEMBL:CHEMBL4594350","adagrasib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:233310","CHEMBL:CHEMBL1614707","mubritinib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:233316","CHEMBL:CHEMBL4297644","simurosertib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:233318","CHEMBL:CHEMBL5095181","camibirstat","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:233359","CHEMBL:CHEMBL4462530","azd4573","T2_canonico_alias",FALSE,"chebi_stars<3"
"CHEBI:233362","CHEMBL:CHEMBL3301610","abemaciclib","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:233363","CHEMBL:CHEMBL4282264","a485","T1_canonico_canonico",FALSE,"chebi_stars<3"
"CHEBI:234358","CHEMBL:CHEMBL3408248","azd8186","T1_canonico_canonico",FALSE,""
"CHEBI:234429","CHEMBL:CHEMBL4074884","mitoquinonemesylate","T1_canonico_canonico",FALSE,"chebi_stars<3"
