"studio","ta","tb","r_pearson","r_spearman","stessa_libreria"
"GSE173902","SE.IFNg sam20_L001","SA.IFNg sam21_L001",0.993553809826734,0.994395787148041,FALSE
"GSE173902","none.none sam1_L001","none.none sam1_L002",0.995755164179997,0.996617983798341,TRUE
"GSE173902","SE.none sam2_L001","none.none sam1_L002",0.986548684583611,0.988319976254519,FALSE
"GSE173902","SA.none sam3_L001","none.none sam1_L002",0.984587996686681,0.986103546445889,FALSE
"GSE173902","none.IL4 sam4_L001","none.none sam1_L002",0.971939836242249,0.974134445743062,FALSE
"GSE173902","SE.IL4 sam5_L001","none.none sam1_L002",0.96069125847886,0.96345107186147,FALSE
"GSE173902","SA.IL4 sam6_L001","none.none sam1_L002",0.962339483102567,0.964618982278293,FALSE
"GSE173902","none.IL13 sam7_L001","none.none sam1_L002",0.973914881388303,0.976695990388847,FALSE
"GSE173902","SE.IL13 sam8_L001","none.none sam1_L002",0.965310399499809,0.967945372207082,FALSE
"GSE173902","SA.IL13 sam9_L001","none.none sam1_L002",0.96665990964683,0.969586936043843,FALSE
"GSE173902","none.IL4IL13 sam10_L001","none.none sam1_L002",0.972206712270627,0.97466119811762,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","none.none sam1_L002",0.9650733612687,0.96785017725843,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","none.none sam1_L002",0.958512583631135,0.960759091378233,FALSE
"GSE173902","none.IL22 sam13_L001","none.none sam1_L002",0.98558125595963,0.987033761933211,FALSE
"GSE173902","SE.IL22 sam14_L001","none.none sam1_L002",0.978071477943704,0.979481038220003,FALSE
"GSE173902","SA.IL22 sam15_L001","none.none sam1_L002",0.983284598986164,0.984795451116227,FALSE
"GSE173902","none.IFNg sam19_L001","none.none sam1_L002",0.928327530768881,0.930693368473093,FALSE
"GSE173902","SE.IFNg sam20_L001","none.none sam1_L002",0.913313364041891,0.915259550903688,FALSE
"GSE173902","SA.IFNg sam21_L001","none.none sam1_L002",0.91577923551263,0.917961592169948,FALSE
"GSE173902","none.none sam1_L001","SE.none sam2_L002",0.986596571111142,0.988301614575798,FALSE
"GSE173902","SE.none sam2_L001","SE.none sam2_L002",0.995260249964992,0.996208138992345,TRUE
"GSE173902","SA.none sam3_L001","SE.none sam2_L002",0.990157100030281,0.99127138268054,FALSE
"GSE173902","none.IL4 sam4_L001","SE.none sam2_L002",0.966209335416546,0.968797240009478,FALSE
"GSE173902","SE.IL4 sam5_L001","SE.none sam2_L002",0.969800660534363,0.971654030863211,FALSE
"GSE173902","SA.IL4 sam6_L001","SE.none sam2_L002",0.969504534649821,0.970961428073843,FALSE
"GSE173902","none.IL13 sam7_L001","SE.none sam2_L002",0.969234859251596,0.971790295253795,FALSE
"GSE173902","SE.IL13 sam8_L001","SE.none sam2_L002",0.974007317488228,0.975881402059616,FALSE
"GSE173902","SA.IL13 sam9_L001","SE.none sam2_L002",0.9738549684839,0.975871026984945,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SE.none sam2_L002",0.96691717411614,0.969441904241147,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","SE.none sam2_L002",0.972880026531257,0.974928478147079,FALSE
"GSE173902","SA.IL4IL13 sam12_L001","SE.none sam2_L002",0.965763265678892,0.967161909493869,FALSE
"GSE173902","none.IL22 sam13_L001","SE.none sam2_L002",0.978452073231554,0.980246957741268,FALSE
"GSE173902","SE.IL22 sam14_L001","SE.none sam2_L002",0.983841131854626,0.985026092325107,FALSE
"GSE173902","SA.IL22 sam15_L001","SE.none sam2_L002",0.986541242962401,0.98782702296032,FALSE
"GSE173902","none.IFNg sam19_L001","SE.none sam2_L002",0.923143660963261,0.926067365956774,FALSE
"GSE173902","SE.IFNg sam20_L001","SE.none sam2_L002",0.914603955478553,0.916439010145447,FALSE
"GSE173902","SA.IFNg sam21_L001","SE.none sam2_L002",0.917411951916342,0.919212912140812,FALSE
"GSE173902","none.none sam1_L002","SE.none sam2_L002",0.986541931975551,0.988396483323862,FALSE
"GSE173902","none.none sam1_L001","SA.none sam3_L002",0.984927281136257,0.986176428404691,FALSE
"GSE173902","SE.none sam2_L001","SA.none sam3_L002",0.990357376828219,0.991453985462099,FALSE
"GSE173902","SA.none sam3_L001","SA.none sam3_L002",0.995492396477559,0.996489368180121,TRUE
"GSE173902","none.IL4 sam4_L001","SA.none sam3_L002",0.969645161660957,0.972055049026712,FALSE
"GSE173902","SE.IL4 sam5_L001","SA.none sam3_L002",0.973948954325843,0.976195727680828,FALSE
"GSE173902","SA.IL4 sam6_L001","SA.none sam3_L002",0.974518845289092,0.976385983879699,FALSE
"GSE173902","none.IL13 sam7_L001","SA.none sam3_L002",0.971096253775272,0.973456304547682,FALSE
"GSE173902","SE.IL13 sam8_L001","SA.none sam3_L002",0.97570296608767,0.977787756586337,FALSE
"GSE173902","SA.IL13 sam9_L001","SA.none sam3_L002",0.975775922708477,0.977955664153393,FALSE
"GSE173902","none.IL4IL13 sam10_L001","SA.none sam3_L002",0.96994506380566,0.972415542450218,FALSE
"GSE173902","SE.IL4IL13 sam11_L001","SA.none sam3_L002",0.975488566093233,0.977303746710469,FALSE
